Week,Biden: (United States),Trump: (United States)
10/20/2019,1,20
10/27/2019,1,25
11/3/2019,1,23
11/10/2019,1,22
11/17/2019,3,25
11/24/2019,1,18
12/1/2019,3,19
12/8/2019,2,23
12/15/2019,2,66
12/22/2019,1,20
12/29/2019,1,22
1/5/2020,1,31
1/12/2020,1,20
1/19/2020,2,21
1/26/2020,2,24
2/2/2020,3,38
2/9/2020,3,21
2/16/2020,2,22
2/23/2020,3,20
3/1/2020,18,22
3/8/2020,11,42
3/15/2020,6,48
3/22/2020,5,38
3/29/2020,3,29
4/5/2020,6,26
4/12/2020,6,32
4/19/2020,4,32
4/26/2020,6,22
5/3/2020,4,20
5/10/2020,4,21
5/17/2020,6,23
5/24/2020,6,30
5/31/2020,6,56
6/7/2020,5,33
6/14/2020,5,43
6/21/2020,6,44
6/28/2020,6,41
7/5/2020,6,37
7/12/2020,5,33
7/19/2020,6,30
7/26/2020,7,30
8/2/2020,11,32
8/9/2020,20,36
8/16/2020,20,42
8/23/2020,11,46
8/30/2020,11,34
9/6/2020,10,34
9/13/2020,12,31
9/20/2020,12,31
9/27/2020,36,100
10/4/2020,19,79
10/11/2020,15,44
